time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-21T03:34:59.300Z,35.9141655,-117.7388306,2.37,2.5,ml,41,37,0.07302,0.15,ci,ci38614671,2019-07-21T03:46:14.760Z,"15km E of Little Lake, CA",earthquake,0.19,0.32,0.246,20,automatic,ci,ci
2019-07-21T02:41:17.410Z,35.6728325,-117.4660034,6.29,3.05,ml,60,66,0.0862,0.18,ci,ci38614479,2019-07-21T02:55:58.740Z,"12km SSW of Searles Valley, CA",earthquake,0.18,0.67,0.253,17,automatic,ci,ci
2019-07-21T02:23:33.750Z,35.9156685,-117.7350006,2.56,3.34,ml,51,43,0.07507,0.17,ci,ci38614407,2019-07-21T02:58:35.807Z,"16km E of Little Lake, CA",earthquake,0.18,0.34,0.241,19,automatic,ci,ci
2019-07-21T01:46:44.790Z,37.3380013,-117.9066696,6.78,2.58,md,35,92,0.2986,0.1,nc,nc73230371,2019-07-21T05:00:03.150Z,"8km ESE of Deep Springs, CA",earthquake,0.33,1.53,0.28,26,automatic,nc,nc
2019-07-21T01:18:33.780Z,32.2998352,-115.3243332,16.73,3.59,mlr,36,165,0.1204,0.35,ci,ci38614159,2019-07-21T03:53:15.313Z,"14km WSW of Delta, B.C., MX",earthquake,0.79,1.67,0.323,17,automatic,ci,ci
2019-07-21T00:52:53.550Z,35.9646667,-117.668,1.1,2.52,ml,29,74,0.06107,0.2,ci,ci38614039,2019-07-21T00:56:53.159Z,"22km E of Little Lake, CA",earthquake,0.29,0.44,0.178,25,automatic,ci,ci
2019-07-21T00:08:37.970Z,35.6765,-117.5438333,7.88,2.5,ml,35,38,0.05811,0.18,ci,ci38613871,2019-07-21T00:18:58.770Z,"13km ENE of Ridgecrest, CA",earthquake,0.23,0.73,0.127,24,automatic,ci,ci
2019-07-20T22:26:51.440Z,35.6843333,-117.5498333,7.92,2.66,ml,35,39,0.06411,0.16,ci,ci38613343,2019-07-20T22:37:48.650Z,"13km ENE of Ridgecrest, CA",earthquake,0.2,0.71,0.205,25,automatic,ci,ci
2019-07-20T22:02:33.921Z,44.5938,-115.7378,5,2.5,ml,,52,0.527,0.63,us,us70004ptm,2019-07-20T22:19:52.040Z,"25km ENE of Cascade, Idaho",earthquake,1.7,1.9,0.074,24,reviewed,us,us
2019-07-20T21:44:40.870Z,35.7688332,-117.5906677,3.03,3.15,ml,50,43,0.1471,0.15,ci,ci38613175,2019-07-21T00:22:13.291Z,"17km W of Searles Valley, CA",earthquake,0.18,0.89,0.254,21,automatic,ci,ci
2019-07-20T21:27:05.742Z,44.5728,-114.3306,5,2.6,ml,,45,1.011,1.16,us,us70004pta,2019-07-20T21:37:52.040Z,"10km NW of Challis, Idaho",earthquake,2.5,1.9,0.071,26,reviewed,us,us
2019-07-20T21:12:16.530Z,35.6011658,-117.4049988,6.36,2.99,ml,53,47,0.04886,0.15,ci,ci38613055,2019-07-20T21:23:17.060Z,"18km S of Trona, CA",earthquake,0.19,0.62,0.269,21,automatic,ci,ci
2019-07-20T20:54:41.000Z,35.8836667,-117.7316667,0.01,2.64,ml,33,47,0.07966,0.2,ci,ci38612967,2019-07-20T20:58:51.238Z,"17km ESE of Little Lake, CA",earthquake,0.25,31.61,0.177,26,automatic,ci,ci
2019-07-20T18:49:58.590Z,35.873333,-117.708168,7.22,3.55,mlr,54,36,0.07938,0.21,ci,ci38612295,2019-07-21T02:31:43.734Z,"19km ESE of Little Lake, CA",earthquake,0.18,0.53,0.253,15,automatic,ci,ci
2019-07-20T18:18:06.620Z,35.8895,-117.7323333,2.4,2.51,ml,36,33,0.08499,0.17,ci,ci38612151,2019-07-20T18:28:55.250Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.37,0.162,25,automatic,ci,ci
2019-07-20T18:14:55.990Z,33.3121681,-116.2535019,11.43,3.19,ml,104,30,0.09625,0.2,ci,ci38612127,2019-07-21T01:13:23.083Z,"13km ENE of Borrego Springs, CA",earthquake,0.18,0.52,0.205,16,automatic,ci,ci
2019-07-20T17:54:18.230Z,35.9505005,-117.7060013,2.51,3.4,ml,57,34,0.08592,0.18,ci,ci38612055,2019-07-20T20:21:02.040Z,"18km E of Little Lake, CA",earthquake,0.19,0.38,0.335,21,automatic,ci,ci
2019-07-20T15:57:53.280Z,38.7926674,-122.7701645,2.99,3.19,ml,63,32,,0.07,nc,nc73229896,2019-07-21T01:43:20.070Z,"2km NW of The Geysers, CA",earthquake,0.13,0.25,0.196,11,automatic,nc,nc
2019-07-20T15:35:35.600Z,36.0796667,-117.8228333,2.99,2.85,ml,29,54,0.04587,0.15,ci,ci38611367,2019-07-20T17:37:33.462Z,"12km ENE of Coso Junction, CA",earthquake,0.26,0.64,0.214,25,automatic,ci,ci
2019-07-20T13:43:46.180Z,35.6781667,-117.4666667,8.93,2.66,ml,31,87,0.08119,0.2,ci,ci38610879,2019-07-20T13:54:44.362Z,"11km SSW of Searles Valley, CA",earthquake,0.29,0.74,0.182,25,automatic,ci,ci
2019-07-20T10:48:19.770Z,35.6716667,-117.484,1.06,2.51,ml,27,61,0.04955,0.15,ci,ci38610031,2019-07-20T13:00:08.818Z,"13km SW of Searles Valley, CA",earthquake,0.18,0.35,0.095,26,automatic,ci,ci
2019-07-20T08:03:12.690Z,35.689,-117.5265,6.97,2.86,ml,38,49,0.07529,0.17,ci,ci38609239,2019-07-20T15:39:45.983Z,"14km SW of Searles Valley, CA",earthquake,0.2,0.58,0.124,25,automatic,ci,ci
2019-07-20T06:36:47.570Z,39.0193,-118.728,9.2,2.5,ml,21,165.23,0.422,0.18,nn,nn00696499,2019-07-20T07:48:07.627Z,"37km E of Yerington, Nevada",earthquake,,3.6,,,automatic,nn,nn
2019-07-20T06:22:59.070Z,37.5691681,-118.8603363,7.76,2.69,md,26,102,0.03239,0.05,nc,nc73229541,2019-07-20T08:59:02.641Z,"13km SE of Mammoth Lakes, CA",earthquake,0.29,0.53,0.23,31,automatic,nc,nc
2019-07-20T02:43:17.190Z,35.7833333,-117.624,5.79,2.65,ml,34,47,0.03885,0.23,ci,ci38607719,2019-07-20T03:04:31.169Z,"19km NNE of Ridgecrest, CA",earthquake,0.27,0.88,0.187,25,automatic,ci,ci
2019-07-20T02:38:43.380Z,35.8860016,-117.6881638,3.61,3.67,mw,50,40,0.08594,0.16,ci,ci38607695,2019-07-21T02:40:34.246Z,"20km ESE of Little Lake, CA",earthquake,0.18,0.53,,6,reviewed,ci,ci
2019-07-20T02:36:15.540Z,35.9076667,-117.72,4.98,2.8,ml,30,58,0.08955,0.18,ci,ci38607671,2019-07-20T02:58:18.798Z,"17km E of Little Lake, CA",earthquake,0.23,1.33,0.156,26,automatic,ci,ci
2019-07-19T23:33:45.430Z,35.6508331,-117.4899979,7.09,3.4,ml,62,38,0.06807,0.18,ci,ci38606951,2019-07-20T00:28:12.966Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.7,0.217,16,automatic,ci,ci
2019-07-19T23:24:13.220Z,35.7691667,-117.576,11,2.82,ml,13,106,0.04965,0.22,ci,ci38606919,2019-07-19T23:28:07.336Z,"16km W of Searles Valley, CA",earthquake,0.55,0.97,0.207,26,automatic,ci,ci
2019-07-19T18:55:48.841Z,31.8207,-114.5401,10,3,ml,,94,0.824,1.32,us,us70004p8r,2019-07-20T16:24:19.040Z,"60km SE of Estacion Coahuila, Mexico",earthquake,5.2,2,0.055,44,reviewed,us,us
2019-07-19T18:40:14.940Z,33.4528333,-116.5763333,10.8,3.59,ml,147,19,0.04702,0.18,ci,ci38605615,2019-07-20T23:40:31.093Z,"14km SE of Anza, CA",earthquake,0.09,0.25,0.145,153,reviewed,ci,ci
2019-07-19T18:22:26.014Z,31.6676,-114.4946,10,3.4,ml,,76,0.698,0.92,us,us70004p71,2019-07-20T15:29:07.040Z,"75km SE of Estacion Coahuila, Mexico",earthquake,2.7,2,0.045,64,reviewed,us,us
2019-07-19T17:55:18.340Z,35.8318333,-117.6603333,5.47,2.53,ml,32,39,0.05352,0.2,ci,ci38605447,2019-07-19T18:06:09.060Z,"24km N of Ridgecrest, CA",earthquake,0.23,0.84,0.197,25,automatic,ci,ci
2019-07-19T17:48:26.626Z,31.6831,-114.4763,10,3.2,ml,,109,0.718,1.21,us,us70004p5z,2019-07-20T15:24:29.040Z,"75km SE of Estacion Coahuila, Mexico",earthquake,2.7,2,0.045,64,reviewed,us,us
2019-07-19T17:42:24.481Z,31.7107,-114.5466,15.75,3.4,ml,,103,0.719,1.17,us,us70004p6m,2019-07-20T14:52:17.040Z,"68km SE of Estacion Coahuila, Mexico",earthquake,2.4,10.3,0.043,70,reviewed,us,us
2019-07-19T17:41:16.710Z,40.2926667,-124.6091667,18.17,2.68,md,47,233,0.204,0.18,nc,nc73229031,2019-07-20T04:28:04.246Z,"28km W of Petrolia, CA",earthquake,0.74,0.26,0.179,42,reviewed,nc,nc
2019-07-19T17:11:33.510Z,35.3821667,-117.831,1.83,2.6,ml,44,40,0.1151,0.2,ci,ci38605263,2019-07-19T18:49:53.333Z,"18km W of Johannesburg, CA",earthquake,0.25,0.62,0.155,26,automatic,ci,ci
2019-07-19T16:50:51.240Z,36.1946667,-117.8888333,2.12,2.83,ml,27,61,0.08169,0.2,ci,ci38605175,2019-07-19T17:24:08.817Z,"14km SE of Olancha, CA",earthquake,0.4,0.75,0.175,26,automatic,ci,ci
2019-07-19T16:16:58.420Z,35.7156667,-117.4955,4.41,3.51,mlr,57,47,0.07721,0.16,ci,ci38605023,2019-07-20T16:19:19.842Z,"10km SW of Searles Valley, CA",earthquake,0.11,0.34,0.136,153,reviewed,ci,ci
2019-07-19T13:52:21.920Z,36.1106667,-117.8395,1.84,3.43,mw,20,52,0.1303,0.11,ci,ci38604199,2019-07-19T19:38:38.375Z,"12km NE of Coso Junction, CA",earthquake,0.18,0.37,,4,reviewed,ci,ci
2019-07-19T13:14:26.670Z,35.8938333,-117.6845,2.61,3.47,mw,57,22,0.06065,0.17,ci,ci38603967,2019-07-20T13:16:23.765Z,"21km ESE of Little Lake, CA",earthquake,0.11,0.25,,4,reviewed,ci,ci
2019-07-19T12:58:58.280Z,35.6238333,-117.5738333,7.94,3.23,ml,61,25,0.004244,0.15,ci,ci38603871,2019-07-20T05:31:08.014Z,"9km E of Ridgecrest, CA",earthquake,0.11,0.28,0.157,199,reviewed,ci,ci
2019-07-19T12:03:18.810Z,35.656,-117.4488333,6.58,2.62,ml,36,60,0.06664,0.18,ci,ci38603639,2019-07-19T12:07:08.572Z,"13km SSW of Searles Valley, CA",earthquake,0.26,0.72,0.222,25,automatic,ci,ci
2019-07-19T10:47:05.430Z,35.5848333,-117.3568333,4.36,3.65,mw,66,27,0.05718,0.16,ci,ci38603223,2019-07-20T10:49:00.449Z,"20km S of Trona, CA",earthquake,0.13,0.3,,4,reviewed,ci,ci
2019-07-19T10:20:04.340Z,36.1965,-117.8888333,1.47,2.73,ml,26,61,0.08342,0.19,ci,ci38603063,2019-07-19T10:31:16.630Z,"14km SE of Olancha, CA",earthquake,0.33,0.73,0.159,26,automatic,ci,ci
2019-07-19T09:28:26.780Z,36.0733333,-117.847,1.3,2.58,ml,32,53,0.04461,0.16,ci,ci38602807,2019-07-19T09:45:59.217Z,"10km ENE of Coso Junction, CA",earthquake,0.23,0.35,0.164,25,automatic,ci,ci
2019-07-19T09:26:43.870Z,36.0743333,-117.8486667,2.09,3.06,ml,52,53,0.04345,0.16,ci,ci38602799,2019-07-19T17:33:54.880Z,"10km ENE of Coso Junction, CA",earthquake,0.13,0.19,0.117,140,reviewed,ci,ci
2019-07-19T08:50:24.980Z,35.644165,-117.4606705,2.36,2.71,ml,52,39,0.05755,0.17,ci,ci38602647,2019-07-19T09:01:15.600Z,"15km SSW of Searles Valley, CA",earthquake,0.18,0.48,0.243,24,automatic,ci,ci
2019-07-19T07:51:22.230Z,37.4488333,-118.8786667,1.91,2.8,md,35,134,0.1464,0.06,nc,nc73228491,2019-07-20T03:09:09.530Z,"22km SW of Toms Place, CA",earthquake,0.28,1.36,0.195,40,reviewed,nc,nc
2019-07-19T07:48:49.030Z,35.929,-117.6838333,2.44,2.51,ml,31,72,0.06699,0.15,ci,ci38602271,2019-07-19T16:19:55.703Z,"20km E of Little Lake, CA",earthquake,0.18,0.35,0.098,25,automatic,ci,ci
2019-07-19T04:11:06.900Z,35.8968333,-117.6845,2.5,2.52,ml,30,38,0.058,0.15,ci,ci38601175,2019-07-19T04:21:55.240Z,"20km ESE of Little Lake, CA",earthquake,0.16,0.3,0.145,25,automatic,ci,ci
2019-07-19T02:52:13.530Z,36.1226667,-117.8261667,2.61,3.34,ml,51,51,0.02378,0.16,ci,ci38600815,2019-07-19T18:18:27.060Z,"14km NE of Coso Junction, CA",earthquake,0.13,0.37,0.132,91,reviewed,ci,ci
2019-07-19T02:36:48.010Z,35.8741667,-117.697,7.5,2.58,ml,33,48,0.0856,0.16,ci,ci38600727,2019-07-19T02:48:01.630Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.7,0.235,25,automatic,ci,ci
2019-07-19T00:57:28.830Z,33.3098333,-116.2568333,11.54,3.15,ml,133,20,0.09389,0.2,ci,ci38600223,2019-07-20T19:04:43.374Z,"12km ENE of Borrego Springs, CA",earthquake,0.1,0.27,0.159,190,reviewed,ci,ci
2019-07-19T00:19:25.100Z,35.9136667,-117.4365,0.98,3.12,ml,55,39,0.107,0.16,ci,ci38600023,2019-07-20T02:34:55.040Z,"16km N of Searles Valley, CA",earthquake,0.12,0.21,0.146,120,reviewed,ci,ci
2019-07-19T00:01:10.260Z,35.6498337,-117.4670029,0.98,2.96,ml,52,39,0.06332,0.15,ci,ci38599935,2019-07-19T20:48:08.040Z,"14km SSW of Searles Valley, CA",earthquake,0.18,0.42,0.213,23,reviewed,ci,ci
2019-07-18T23:54:32.440Z,36.1113333,-117.8316667,2.07,2.74,ml,29,47,0.01979,0.17,ci,ci38599911,2019-07-19T00:05:48.940Z,"13km NE of Coso Junction, CA",earthquake,0.21,0.34,0.158,25,automatic,ci,ci
2019-07-18T21:46:37.640Z,35.7853333,-117.6253333,6.15,3.81,ml,56,31,0.03784,0.15,ci,ci38599327,2019-07-21T04:02:38.040Z,"19km NNE of Ridgecrest, CA",earthquake,0.11,0.36,0.167,215,reviewed,ci,ci
2019-07-18T20:16:54.760Z,36.1111667,-117.8865,1.56,2.83,ml,22,57,0.02641,0.15,ci,ci38598855,2019-07-19T04:19:28.177Z,"9km NE of Coso Junction, CA",earthquake,0.22,0.33,0.187,27,automatic,ci,ci
2019-07-18T16:43:37.020Z,35.9271667,-117.6846667,2.53,2.59,ml,33,38,0.03467,0.16,ci,ci38597815,2019-07-18T16:54:12.620Z,"20km E of Little Lake, CA",earthquake,0.18,0.4,0.164,26,automatic,ci,ci
2019-07-18T15:49:04.590Z,35.7025,-117.5251667,8.95,2.64,ml,38,51,0.0879,0.18,ci,ci38597535,2019-07-18T15:59:47.230Z,"13km WSW of Searles Valley, CA",earthquake,0.23,0.57,0.21,25,automatic,ci,ci
2019-07-18T14:20:58.700Z,35.6606667,-117.4816667,5.16,2.74,ml,33,64,0.07569,0.12,ci,ci38597047,2019-07-18T16:55:57.781Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.64,0.118,25,automatic,ci,ci
